标题,信息,薪水,关键词,标签,其它,其它1,其它2,关键词3
"
          尧柏特种水泥集团有限公司
        ",销售业务员（篮球特长生）,"
          1.3-2万
        ",,,"
          经验不限
        ","
          大专
        ",西安·长安·韦曲,"
          上市公司
         
          1000-9999人
         
          房地产开发
        "
"
          无锡市昱能机电物资有限公司
        ",销售,"
          5000-10000元
        ",电话销售,电话销售,"
          经验不限
        ","
          大专
        ",无锡·梁溪·北大街," 
          20人以下
         
          零售/批发
        "
"
          新智造(山西)科技有限公司
        ",销售,"
          3000-4000元
        ","渠道销售
矿产采掘行业",渠道销售,"
          1-3年
        ","
          大专
        ",太原·小店·平阳路," 
          20-99人
         
          贸易/进出口
        "
"
          金慧科技
        ",纯底薪7000 TOB软件销售 周末双休法定休,"
          9000-18000元
        ",,,"
          1-3年
        ","
          大专
        ",厦门·思明·莲前,"
          上市公司
         
          10000人以上
         
          互联网
        "
"
          郑州渔可盛生物科技有限公司
        ",濮阳双休招聘水产销售,"
          9000-16000元
        ","销售专员
电话销售
网络销售
剪辑，运营经验
干过农资",销售专员,"
          1-3年
        ","
          大专
        ",濮阳·华龙区·长庆路街道,"
          股份制企业
         
          100-299人
         
          农/林/牧/渔
        "
"
          中国平安人寿保险股份有限公司四川分公司(梦想飞跃团队)
        ",绝不加班，六险二金，月入过万，不外出跑客户，销售助理,"
          1.2-2.4万·25薪
        ","内勤管理
销售数据分析",内勤管理,"
          经验不限
        ","
          大专
        ",成都·新都·新都街道,"
          上市公司
         
          1000-9999人
         
          保险
        "
"
          中翔金属节能板材(河北)有限公司
        ",销售,"
          4000-8000元
        ","企业客户
政府客户
工业厂房建造",企业客户,"
          1-3年
        ","
          学历不限
        ",唐山·路北区,"
          民营
         
          20-99人
         
          金属制品业
        "
"
          上工申贝
        ",销售,"
          6000-10000元
        ",渠道销售,渠道销售,"
          1-3年
        ","
          大专
        ",上海·宝山·大场,"
          国企
         
          100-299人
         
          纺织业/服饰产品加工制造
        "
"
          易车公司
        ",视频号商务销售-合肥(J14218),"
          1-2万
        ","商务合作
商户开拓",商务合作,"
          经验不限
        ","
          大专
        ",合肥·蜀山·荷叶地,"
          外商独资
         
          1000-9999人
         
          互联网
        "
"
          北京高途云集教育科技有限公司
        ",k12教育销售(上市公司＋五险一金),"
          1-2万
        ",电话销售,电话销售,"
          经验不限
        ","
          本科
        ",成都·锦江·成龙路,"
          上市公司
         
          10000人以上
         
          培训/辅导服务
        "
"
          学易语文
        ",电话销售,"
          1-2万
        ",教育培训,教育培训,"
          经验不限
        ","
          大专
        ",北京·海淀·北下关,"
          民营
         
          100-299人
         
          培训/辅导服务
        "
"
          恩派特(江苏)环境有限公司
        ",外贸销售员,"
          1.2-2万·13薪
        ","阿里巴巴国际站
Facebook
英语",阿里巴巴国际站,"
          1-3年
        ","
          本科
        ",苏州·工业园区,"
          合资
         
          100-299人
         
          专用设备制造
        "
"
          新奥集团
        ",工商户数智产品销售管理经理,"
          1-1.5万·15薪
        ","数据产品
智慧服务
安全产品",数据产品,"
          3-5年
        ","
          本科
        ",济南·历城·港沟,"
          民营
         
          10000人以上
         
          电力/水利/热力/燃气
        "
"
          明水县美璇百货商行(个体工商户)
        ",销售,"
          8000-9000元
        ","地推销售
渠道销售
面销/陌拜
个人客户",地推销售,"
          1-3年
        ","
          学历不限
        ",哈尔滨·南岗·新春," 
          20人以下
         
          零售/批发
        "
"
          恒昌汇财
        ",销售经理,"
          1-2万
        ","KA大客户
企业客户",KA大客户,"
          经验不限
        ","
          大专
        ",聊城·东昌府区·柳园街道,"
          股份制企业
         
          10000人以上
         
          互联网金融/小额贷款
        "
"
          龙芯中科
        ",销售,"
          1-1.8万
        ",,,"
          3-5年
        ","
          本科
        ",金华·金东区·孝顺镇,"
          上市公司
         
          500-999人
         
          电子/半导体/集成电路
        "
"
          大连丽铭生物科技有限公司
        ",销售,"
          7000-11000元
        ","店面销售
面销
会销
大客户（KA）
个人客户
全国",店面销售,"
          经验不限
        ","
          学历不限
        ",济南·槐荫·张庄路,"
          民营
         
          20-99人
         
          卫生服务
        "
