标题,信息,薪水,关键词,标签,其它,其它1,其它2,关键词3
"
          绿叶制药集团
        ",医药政府事务管理（市场准入经理）,"
          2.8-3万
        ",政策研究,政策研究,"
          3-5年
        ","
          本科
        ",杭州·拱墅·半山,"
          上市公司
         
          1000-9999人
         
          医药制造
        "
"
          湖北和润联投资管理有限公司
        ",公关经理,"
          8000-10000元·13薪
        ",政府公关,政府公关,"
          3-5年
        ","
          本科
        ",北京·海淀·中关村,"
          民营
         
          1000-9999人
         
          投资/融资
        "
"
          蒂升电梯(中国)有限公司
        ",人力资源业务伙伴,"
          面议
        ","招聘
员工关系
企业文化
运营团队HRBP",招聘,"
          3-5年
        ","
          本科
        ",福州·闽侯·上街,"
          外商独资
         
          1000-9999人
         
          专用设备制造
        "
"
          湖南恒昌医药集团股份有限公司
        ",商品准入专员,"
          5000-7000元·13薪
        ","医药招投标
医药企业",医药招投标,"
          1-3年
        ","
          本科
        ",长沙·开福·青竹湖,"
          民营
         
          1000-9999人
         
          医药制造
        "
"
          晖致医药有限公司
        ",KA - 阜新,"
          7000-11000元
        ","政府事务
信息收集
策略分析
市场数据分析",政府事务,"
          3-5年
        ","
          本科
        ",阜新·细河区·玉新街道,"
          外商独资
         
          10000人以上
         
          医药制造
        "
"
          山西健康动力医疗科技有限公司
        ",厂长—外派山西，湖南,"
          1-1.5万
        ","质量管理
安全管理
ISO9001
ISO13485
质量管理体系
二类医疗器械
有源",质量管理,"
          5-10年
        ","
          大专
        ",湘潭·湘乡市·东郊乡,"
          股份制企业
         
          100-299人
         
          医疗设备/器械
        "
"
          内蒙古博源新能源开发有限责任公司
        ",外勤手续专员,"
          4000-5000元
        ",,,"
          1-3年
        ","
          大专
        ",呼和浩特·赛罕,"
          民营
         
          20-99人
         
          电力/水利/热力/燃气
        "
"
          上海瑞博密封件南京有限公司
        ",行政副总,"
          1-1.3万
        ",,,"
          5-10年
        ","
          本科
        ",南京·高淳·古柏,"
          民营
         
          100-299人
         
          汽车研发/制造
        "
"
          旌准医疗
        ",知识产权主管/专员,"
          1-2万
        ","政府事务
项目申报",政府事务,"
          1-3年
        ","
          本科
        ",北京·大兴·博兴,"
          民营
         
          100-299人
         
          医药制造
        "
"
          光梭未来科技(苏州)有限公司
        ",政府关系经理（苏州）,"
          1.5-2.5万·15薪
        ","政府拓展
政策研究",政府拓展,"
          5-10年
        ","
          本科
        ",苏州·吴中·越溪,"
          民营
         
          100-299人
         
          新能源汽车
        "
"
          东阿阿胶
        ",店经理,"
          8000-16000元
        ","直营店
品牌店
旗舰店",直营店,"
          3-5年
        ","
          本科
        ",济南·历下·趵突泉,"
          国企
         
          1000-9999人
         
          医药制造
        "
"
          北京利和制药有限公司
        ",商务经理-吉林,"
          1.4-2.8万
        ",,,"
          5-10年
        ","
          本科
        ",长春·南关·临河,"
          民营
         
          500-999人
         
          医药制造
        "
"
          广东百景旅游管理有限公司
        ",综合行政主管,"
          5000-8000元·13薪
        ","行政管理体系
接待事务",行政管理体系,"
          1-3年
        ","
          大专
        ",汕尾·城区·马宫街道,"
          民营
         
          20-99人
         
          旅游服务
        "
"
          成都易训企业管理咨询有限公司
        ",政府项目项目经理/总监,"
          1.2-1.3万·14薪
        ","政企合作
政府拓展
工伤预防
民生安全
政府汇报
人社局
应急管理
公检法",政企合作,"
          3-5年
        ","
          大专
        ",郑州·管城·金岱,"
          民营
         
          300-499人
         
          专业技术服务
        "
"
          上海港湾基础建设(集团)股份有限公司
        ",行政主管,"
          1-1.3万
        ","接待事务
对接政府",接待事务,"
          5-10年
        ","
          本科
        ",上海·松江·新桥,"
          上市公司
         
          1000-9999人
         
          工程施工
        "
"
          西安达莫制药有限公司
        ",药品招标专员,"
          6000-8000元
        ",医药招投标,医药招投标,"
          3-5年
        ","
          本科
        ",西安·雁塔·丈八沟,"
          民营
         
          20-99人
         
          医药制造
        "
"
          北京文华学信教育投资有限公司
        ",大客户销售,"
          1.2-1.8万
        ",政府关系,政府关系,"
          3-5年
        ","
          本科
        ",北京·海淀·紫竹院,"
          上市公司
         
          500-999人
         
          培训/辅导服务
        "
"
          北京博瑞霖医疗管理咨询有限公司
        ",KA经理 base 上海（医院准入）,"
          1.5-2.5万·15薪
        ","区域销售
ka
医院准入",区域销售,"
          5-10年
        ","
          本科
        ",上海·静安·天目西路,"
          外商独资
         
          1000-9999人
         
          卫生服务
        "
"
          深圳市陆为生物技术有限公司
        ",报物价专员,"
          1-1.5万·13薪
        ",医疗器械招投标,医疗器械招投标,"
          1-3年
        ","
          本科
        ",深圳·南山·西丽,"
          民营
         
          20-99人
         
          医疗检测
        "
"
          金风科技股份有限公司
        ",公共关系经理(J22911),"
          2-3万
        ","政府公关
商务公关
甲方公司",政府公关,"
          5-10年
        ","
          本科
        ",温州·洞头区,"
          股份制企业
         
          10000人以上
         
          电气机械/电力设备
        "
"
          大连富德金煜新能源有限公司
        ",专利工程师,"
          8000-12000元·14薪
        ","国内专利代理
化工类",国内专利代理,"
          3-5年
        ","
          本科
        ",大连·甘井子·凌水,"
          股份制企业
         
          100-299人
         
          新能源
        "
"
          格物科技有限公司
        ",政府关系主管,"
          7000-10000元
        ","政府拓展
政府公关
项目推荐
商务谈判
商务接待
客情维护",政府拓展,"
          5-10年
        ","
          本科
        ",和田·和田市·古江巴格街道,"
          民营
         
          100-299人
         
          电力/水利/热力/燃气
        "
"
          惠升生物制药股份有限公司
        ",商务主管（工作地点：梅河口市）,"
          4000-8000元
        ",,,"
          1-3年
        ","
          大专
        ",长春·朝阳·硅谷,"
          股份制企业
         
          300-499人
         
          医药制造
        "
"
          宁德时代新能源科技股份有限公司
        ",外联主管,"
          1-2万
        ","政府拓展
政企合作",政府拓展,"
          1-3年
        ","
          本科
        ",洛阳·洛龙,"
          民营
         
          10000人以上
         
          电子设备制造
        "
"
          国能日新科技股份有限公司
        ",资质专员,"
          7000-9000元
        ","科技申报项目
政府申报项目
知识产权申报项目",科技申报项目,"
          1-3年
        ","
          本科
        ",北京·海淀·西三旗,"
          上市公司
         
          500-999人
         
          电力/水利/热力/燃气
        "
"
          北京北大科技园建设开发有限公司
        ",产业发展主管,"
          1-1.3万
        ",,,"
          3-5年
        ","
          本科
        ",北京·海淀·燕园,"
          国企
         
          500-999人
         
          科学技术推广
        "
"
          北京普天德胜科技孵化器有限公司
        ",创新发展/企业服务专员&主管,"
          8000-13000元·13薪
        ","政府事务
孵化器运营
园区运营",政府事务,"
          3-5年
        ","
          本科
        ",北京·西城·德胜,"
          国企
         
          20-99人
         
          企业服务
        "
"
          苏商建设集团有限公司
        ",总裁助理（世界500强建筑集团）,"
          8000-10000元
        ","政府关系管理
市场管理
工程管理",政府关系管理,"
          1-3年
        ","
          本科
        ",上海·杨浦·延吉新村,"
          民营
         
          10000人以上
         
          工程施工
        "
"
          大连东软睿新健康科技有限公司
        ",政府项目申报专员,"
          6000-10000元
        ",政府申报项目,政府申报项目,"
          1-3年
        ","
          硕士
        ",大连·沙河口·南沙河口,"
          民营
         
          100-299人
         
          互联网
        "
"
          北京国基科技股份有限公司
        ",市场营销与政府事务管理,"
          1.6-2.2万
        ","市场拓展
品牌营销
政府项目申报
品牌营销与策划
市场推广",市场拓展,"
          5-10年
        ","
          硕士
        ",北京·海淀·上地,"
          民营
         
          100-299人
         
          电子/半导体/集成电路
        "
"
          湖南恒兴医药科技有限公司
        ",项目申报主管/专员,"
          7000-12000元·13薪
        ",政府申报项目,政府申报项目,"
          1-3年
        ","
          本科
        ",长沙·岳麓·麓谷,"
          民营
         
          100-299人
         
          医药制造
        "
"
          永信至诚科技集团股份有限公司
        ",政府关系总监,"
          2-2.5万
        ",,,"
          5-10年
        ","
          本科
        ",北京·海淀,"
          上市公司
         
          500-999人
         
          计算机软件
        "
"
          广西川航机械科技有限公司
        ",人行主管（制造业）,"
          4000-6000元
        ","培训
招聘
员工关系
组织发展",培训,"
          1-3年
        ","
          大专
        ",玉林·陆川县·珊罗镇," 
          100-299人
         
          汽车零部件
        "
"
          北京华源新能投资有限公司
        ",总经理助理,"
          1.5-2万
        ","销售管理
市场管理
政府关系管理
投融资管理
运营管理
高级管理类",销售管理,"
          5-10年
        ","
          本科
        ",北京·朝阳,"
          民营
         
          100-299人
         
          新能源
        "
"
          成都易训企业管理咨询有限公司
        ",政府项目项目经理/总监,"
          1.5-2万·14薪
        ",政府项目管理,政府项目管理,"
          3-5年
        ","
          大专
        ",乌鲁木齐·水磨沟区·六道湾街道,"
          民营
         
          300-499人
         
          专业技术服务
        "
"
          永荣控股集团
        ",公共事务主管/经理,"
          1-1.8万·13薪
        ","政府拓展
政企合作",政府拓展,"
          5-10年
        ","
          本科
        ",贵阳·观山湖·金阳,"
          民营
         
          10000人以上
         
          石油/石化
        "
"
          陕西融新创科科技工程有限公司
        ",科技招商经理/技术经理人,"
          8000-15000元
        ",院校客户,院校客户,"
          3-5年
        ","
          本科
        ",西安·雁塔·丈八沟," 
          20人以下
         
          企业服务
        "
"
          中天远大餐饮集团(山东)餐饮管理有限公司
        ",行政经理,"
          8000-10000元
        ","固定资产管理
后勤管理
行政体系管理
接待事务
行政预算
会务活动
印章证照",固定资产管理,"
          5-10年
        ","
          本科
        ",烟台·莱山·初家,"
          民营
         
          500-999人
         
          餐饮服务
        "
"
          河南荣鑫碳素制品有限公司
        ",总经理助理,"
          1-1.8万
        ","政府关系管理
投融资管理
商务管理",政府关系管理,"
          3-5年
        ","
          大专
        ",郑州·金水·祭城路,"
          民营
         
          100-299人
         
          贸易/进出口
        "
"
          希尔康
        ",项目申报主管,"
          7000-10000元
        ","项目申报
政府关系",项目申报,"
          3-5年
        ","
          本科
        ",重庆·璧山·璧城,"
          民营
         
          100-299人
         
          医疗设备/器械
        "
"
          北京大盛奎水务科技有限公司
        ",销售高级商务经理,"
          8000-12000元·15薪
        ",政府拓展,政府拓展,"
          3-5年
        ","
          大专
        ",鹤壁·淇滨区·长江路街道,"
          民营
         
          20人以下
         
          环保
        "
"
          中浦德能科技集团有限公司
        ",总经办主任,"
          9000-15000元
        ",政府关系管理,政府关系管理,"
          10年以上
        ","
          本科
        ",武汉·武昌,"
          民营
         
          20-99人
         
          工程施工
        "
